Ticker,Exch.,Name,ICB_Level 2,Mar.Cap (mn USD),Outs. Share,Listed Share,Freefloat (Share),% Freefloat,Total foreign-room (Share),Foreign-owned (Share),Remaining Room (share),% State-owned,% Foreign-owned,% Other-owned,% Remained room,Beta,BVPS (VND),Basic EPS (VND),Basic PE,PB,% ROE,% ROA,EBIT (USD mn),EBITDA (USD mn),,Revenue Plan 2020 (USD mn),"Profit Plan 2020
(USD mn)",Price (VND),T-1,% T-1,% T-3,% 1M,% YTD,% YoY,Matched Vol. ,Put-through Vol.,Matched Value (USD) ,Put-through Value (USD),Total Vol.,"Total Val.
(USD)",TURNOVER 20D,% turnover vs prev 20D,Avg.Vol 20D ,Buying Vol.,Selling Vol.,Net off Vol.,Buying Val.  (USD),Selling Val.  (USD),Net off Val. (USD)
AAA,HOSE,An Phat Bioplastics,Chemicals L2,94.03350252," 171,199,976 "," 171,199,976 "," 94,159,987 ",55.0%," 67,709,590 "," 7,626,580 "," 60,083,010 ",0.00%,4.45%,95.55%,35.10%,#N/A," 17,143.84 "," 1,827.04 ", 7.06 , 0.75 ,9.67%,3.90%,20.83097095,32.17705853,,430.7930901,23.69361995," 12,750 ", (150),-1.16%,-5.56%,0.39%,0.39%,-27.35%," 2,608,600 ", -   ," 1,423,647 ", -   ," 2,608,600 "," 1,423,647 "," 36,865,046,125 ",-10.36%," 2,830,759 "," 63,750 "," (47,530)"," 16,220 "," 34,383 "," (25,969)"," 8,414 "
AAM,HOSE,Mekong Fisheries,Food & Beverage L2,5.087595597," 10,451,182 "," 12,346,411 "," 4,180,472 ",40.0%," 6,049,741 "," 126,296 "," 5,923,445 ",0.00%,1.02%,98.98%,56.68%,0.14," 19,788.68 ", 557.43 , 20.45 , 0.58 ,2.75%,2.52%,-0.049021092,0.127003203,,9.477447982,0.206780683," 11,300 ", (100),-0.88%,1.35%,-3.42%,-11.72%,-9.60%, 240 , -   , 117 , -   , 240 , 117 ," 36,798,700 ",-91.85%," 3,247 ", -   , -   , -   , -   , -   , -   
ABS,HOSE,BinhThuan Agriculture Services,Retail L2,15.38448283," 28,800,000 "," 28,800,000 "," 15,769,150 ",54.8%," 14,112,000 "," 2,090 "," 14,109,910 ",0.00%,0.01%,99.99%,48.99%,0.00," 14,064.28 "," 1,152.97 ", 11.54 , 0.95 ,8.46%,4.96%,1.807654385,1.855421638,,43.07930901,2.15764997," 12,400 ", (900),-6.77%,-14.19%,-19.74%,n.a,n.a," 230,700 ", -   ," 124,572 ", -   ," 230,700 "," 124,572 "," 2,404,068,899 ",20.30%," 170,717 ", 110 ," (2,000)"," (1,890)", 59 ," (1,120)"," (1,061)"
ABT,HOSE,Ben Tre Aquaproduct,Food & Beverage L2,15.3541105," 11,497,257 "," 14,107,207 "," 1,264,698 ",11.0%," 6,912,531 "," 362,213 "," 6,550,318 ",0.00%,2.57%,97.43%,56.97%,-0.07," 34,995.78 "," 3,322.03 ", 9.57 , 0.91 ,9.28%,7.31%,0.612227395,0.887417817,,0,0," 31,000 ", (800),-2.52%,-6.06%,-8.15%,-13.89%,-21.52%, 560 , -   , 757 , -   , 560 , 757 ," 4,784,100 ",276.25%, 145 , -   , -   , -   , -   , -   , -   
ACC,HOSE,ACC Binh Duong Investment and Construction,Construction & Materials L2,8.055830784," 10,000,000 "," 10,000,000 "," 3,000,000 ",30.0%," 4,900,000 "," 1,903,856 "," 2,996,144 ",0.00%,19.04%,80.96%,29.96%,0.25," 22,806.38 "," 4,204.62 ", 4.52 , 0.83 ,17.37%,9.14%,2.287043255,2.660170307,,0,0," 18,700 ", (300),-1.58%,-6.50%,-2.09%,-3.61%,-10.10%," 1,250 ", -   ," 1,002 ", -   ," 1,250 "," 1,002 "," 63,918,375 ",-64.02%," 3,382 ", -   , (20), (20), -   , (16), (16)
ACL,HOSE,Cuu Long Fisheries,Food & Beverage L2,22.8851259," 22,799,675 "," 22,799,675 "," 5,699,919 ",25.0%," 9,014,991 "," 556,958 "," 8,458,033 ",0.00%,2.44%,97.56%,37.10%,0.44," 29,269.26 "," 4,024.76 ", 6.16 , 0.85 ,13.60%,6.39%,6.034438672,7.888918286,,58.15706716,2.58475854," 23,300 "," (1,500)",-6.05%,-9.69%,10.43%,0.43%,-37.87%," 80,890 ", -   ," 81,932 ", -   ," 80,890 "," 81,932 "," 1,953,891,400 ",-2.66%," 79,077 ", -   , -   , -   , -   , -   , -   
ADS,HOSE,Damsan Yarntex,Personal & Household Goods L2,10.44324773," 25,517,801 "," 25,517,801 "," 10,207,120 ",40.0%," 12,503,722 "," 21,251 "," 12,482,471 ",0.00%,0.08%,99.92%,48.92%,0.27," 14,204.51 ", 286.95 , 34.47 , 0.70 ,1.83%,0.44%,0.915120588,3.524178088,,84.08977728,2.088036876," 9,500 ", (390),-3.94%,-4.04%,-5.47%,-23.39%,-29.37%," 2,710 ", -   ," 1,118 ", -   ," 2,710 "," 1,118 "," 25,499,950 ",1.96%," 2,578 ", -   , -   , -   , -   , -   , -   
AGG,HOSE,An Gia Real Estate,Real Estate L2,87.47142873," 74,925,250 "," 75,000,000 "," 37,728,094 ",50.4%," 36,750,000 "," 20,524,089 "," 16,225,911 ",0.00%,27.37%,72.63%,21.66%,0.00," 17,269.93 "," 4,353.29 ", 6.23 , 1.57 ,0.00%,0.00%,0,0,,0,0," 27,100 ", -   ,0.00%,-0.73%,-1.09%,n.a,n.a," 274,060 ", -   ," 317,399 ", -   ," 274,060 "," 317,399 "," 7,365,912,200 ",0.03%," 272,174 ", -   , -   , -   , -   , -   , -   
AGM,HOSE,An Giang Import Export,Food & Beverage L2,12.3878861," 18,200,000 "," 18,200,000 "," 3,640,000 ",20.0%," 8,918,000 "," 1,320,890 "," 7,597,110 ",28.17%,7.26%,64.57%,41.74%,0.48," 24,401.54 "," 1,908.11 ", 8.44 , 0.66 ,7.98%,4.21%,1.466546954,2.43898071,,0,0," 15,800 ", (300),-1.86%,1.94%,21.54%,54.90%,73.63%," 20,300 ", -   ," 13,311 ", -   ," 20,300 "," 13,311 "," 682,703,725 ",-54.74%," 46,042 ", -   , -   , -   , -   , -   , -   
AGR,HOSE,AgriBank Securities,Financial Services L2,33.48192078," 211,199,953 "," 212,000,000 "," 52,799,988 ",25.0%," 103,880,000 "," 4,274,059 "," 99,605,941 ",74.92%,2.02%,23.06%,47.16%,0.86," 9,134.05 ", 298.08 , 13.25 , 0.43 ,3.17%,3.01%,3.299316702,3.43235484,,0,0," 3,680 ", (270),-6.84%,-8.91%,14.29%,2.51%,-5.40%," 1,051,630 ", -   ," 167,740 ", -   ," 1,051,630 "," 167,740 "," 1,736,638,665 ",124.23%," 459,518 ", -   , -   , -   , -   , -   , -   
