Zip,City,State,Latitude,Longitude
89570,Reno,NV,40.541218,-119.586934
89835,Wells,NV,41.208288,-114.86098
89148,Las Vegas,NV,36.049095,-115.28485
89147,Las Vegas,NV,36.113059,-115.27343
89599,Reno,NV,40.541218,-119.586934
89420,Luning,NV,38.555308,-118.21818
89103,Las Vegas,NV,36.113211,-115.21849
89112,Las Vegas,NV,36.157764,-115.025559
89711,Carson City,NV,39.167833,-119.776409
89803,Elko,NV,40.81488,-115.79241
89008,Caliente,NV,37.488849,-114.45374
89132,Las Vegas,NV,36.018981,-115.151937
89158,Las Vegas,NV,35.927901,-114.972061
89714,Carson City,NV,39.167833,-119.776409
89199,Las Vegas,NV,35.927901,-114.972061
89004,Blue Diamond,NV,36.046247,-115.40483
89040,Overton,NV,36.540495,-114.45478
89317,Lund,NV,38.835421,-115.02628
89009,Henderson,NV,35.927901,-114.972061
89047,Silverpeak,NV,37.751386,-117.64225
89412,Gerlach,NV,40.652505,-119.356505
89510,Reno,NV,39.87107,-119.71313
89043,Pioche,NV,38.122239,-114.40318
89146,Las Vegas,NV,36.141119,-115.22493
89413,Glenbrook,NV,39.083284,-119.93964
89318,McGill,NV,39.4163,-114.77624
89515,Reno,NV,40.541218,-119.586934
89501,Reno,NV,39.52616,-119.81367
89521,Reno,NV,39.395387,-119.72735
89012,Henderson,NV,36.017578,-115.05438
89032,North Las Vegas,NV,36.224218,-115.1763
88905,The Lakes,NV,35.927901,-114.972061
89017,Hiko,NV,37.592182,-115.28676
89053,Henderson,NV,35.927901,-114.972061
89503,Reno,NV,39.53636,-119.8373
89113,Las Vegas,NV,36.067495,-115.26039
89150,Las Vegas,NV,35.927901,-114.972061
89145,Las Vegas,NV,36.167731,-115.26791
89405,Empire,NV,40.555197,-119.35093
89301,Ely,NV,39.282855,-114.9208
89117,Las Vegas,NV,36.140974,-115.28205
89432,Sparks,NV,40.541218,-119.586934
89023,Mercury,NV,37.583805,-116.598559
89126,Las Vegas,NV,35.927901,-114.972061
88901,The Lakes,NV,36.322484,-114.819717
89027,Mesquite,NV,36.804651,-114.08749
89440,Virginia City,NV,39.298192,-119.65351
89433,Sun Valley,NV,39.59218,-119.77467
89824,Halleck,NV,41.029538,-115.4113
89436,Sparks,NV,39.624698,-119.70585
89802,Elko,NV,41.059414,-115.529596
89833,Ruby Valley,NV,40.453542,-115.33257
89007,Bunkerville,NV,36.766887,-114.13298
89116,Las Vegas,NV,35.927901,-114.972061
89513,Reno,NV,39.631922,-119.293722
89422,Mina,NV,38.271173,-118.19513
89003,Beatty,NV,37.027453,-116.84011
89131,Las Vegas,NV,36.294596,-115.24685
89421,McDermitt,NV,41.953624,-117.72501
89010,Dyer,NV,37.751707,-118.08592
89520,Reno,NV,40.541218,-119.586934
89111,Las Vegas,NV,35.927901,-114.972061
89115,Las Vegas,NV,36.233655,-115.06881
89815,Spring Creek,NV,40.644201,-115.64745
89119,Las Vegas,NV,36.088922,-115.13905
89061,Pahrump,NV,36.119299,-115.938992
89130,Las Vegas,NV,36.257531,-115.22728
89102,Las Vegas,NV,36.145303,-115.18358
89170,Las Vegas,NV,35.927901,-114.972061
89564,Reno,NV,40.541218,-119.586934
89595,Reno,NV,40.541218,-119.586934
89706,Carson City,NV,39.200035,-119.72732
89447,Yerington,NV,38.94675,-119.11544
89163,The Lakes,NV,35.927901,-114.972061
89122,Las Vegas,NV,36.10524,-115.04592
89319,Ruth,NV,39.342631,-114.885945
89415,Hawthorne,NV,38.505507,-118.70342
89506,Reno,NV,39.659801,-119.87918
89834,Tuscarora,NV,41.328852,-116.12251
89025,Moapa,NV,36.674946,-114.66488
89013,Goldfield,NV,37.571495,-117.31507
89195,Las Vegas,NV,35.927901,-114.972061
89101,Las Vegas,NV,36.17022,-115.12785
89821,Crescent Valley,NV,40.450972,-116.51585
89721,Carson City,NV,39.167833,-119.776409
89120,Las Vegas,NV,36.087623,-115.08872
89702,Carson City,NV,39.135503,-119.75875
89048,Pahrump,NV,36.218341,-116.00994
89108,Las Vegas,NV,36.205718,-115.22363
89118,Las Vegas,NV,36.084361,-115.2103
89001,Alamo,NV,37.381946,-115.31502
89036,North Las Vegas,NV,35.927901,-114.972061
89316,Eureka,NV,39.717627,-116.02944
89825,Jackpot,NV,41.890872,-114.44545
89016,Henderson,NV,35.927901,-114.972061
89193,Las Vegas,NV,35.927901,-114.972061
89424,Nixon,NV,39.835829,-119.35634
89138,Las Vegas,NV,35.927901,-114.972061
